year,dayofyear,hourmin,ws,wd
2017,157,1920,3.253,263.1
2017,157,1930,3.027,257.2
2017,157,1940,2.896,258.6
2017,157,1950,2.722,263.1
2017,157,2000,2.894,256.9
2017,157,2010,2.71,261.6
2017,157,2020,2.983,258.8
2017,157,2030,2.609,260
2017,157,2040,3.181,262
2017,157,2050,3.232,263.2
2017,157,2100,3.188,264.9
2017,157,2110,3.405,261.5
2017,157,2120,2.963,260.6
2017,157,2130,3.122,268.3
2017,157,2140,3.248,266.6
2017,157,2150,2.88,252.7
2017,157,2200,2.464,258.4
2017,157,2210,2.235,255.2
2017,157,2220,2.457,255.1
2017,157,2230,2.158,249.8
2017,157,2240,2.227,259.6
2017,157,2250,1.71,237.4
2017,157,2300,1.789,230.6
2017,157,2310,2.041,234
2017,157,2320,2.215,220.4
2017,157,2330,2.131,221.2
2017,157,2340,2.165,217.6
2017,157,2350,2.596,231.9
2017,158,0,3.298,252.1
2017,158,10,3.258,260.7
2017,158,20,3.438,260.2
2017,158,30,3.291,258.2
2017,158,40,3.072,260.1
2017,158,50,2.937,262.7
2017,158,100,2.856,259.3
2017,158,110,2.922,262.2
2017,158,120,3.549,265.8
2017,158,130,3.399,264.5
2017,158,140,3.628,264.9
2017,158,150,3.73,259.8
2017,158,200,3.602,259
2017,158,210,3.605,262.2
2017,158,220,3.521,262.1
2017,158,230,3.428,256.9
2017,158,240,3.381,263.1
2017,158,250,3.327,257.6
2017,158,300,3.348,278.2
2017,158,310,3.701,273.7
2017,158,320,3.536,279.4
2017,158,330,3.38,285.7
2017,158,340,3.247,275.3
2017,158,350,3.371,278.4
2017,158,400,2.846,272.8
2017,158,410,2.973,263.8
2017,158,420,3.087,253
2017,158,430,2.775,263.3
2017,158,440,2.744,284.6
2017,158,450,2.776,276.7
2017,158,500,2.865,270.4
2017,158,510,2.069,268
2017,158,520,2.566,268.7
2017,158,530,2.975,265.7
2017,158,540,2.801,289.9
