Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12228,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,210,162
12229,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,240,192
12230,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,270,222
12231,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,300,252
12232,NewSet-M2K1-Wind-Lag-Severe,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,330,282
12233,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,0,312
12234,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,30,342
12235,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,60,12
12236,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,90,42
12237,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,120,72
12238,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,150,102
12239,NewSet-M2-Wind Lag-Mild,10,12.4,0.056,0,90,23.9,0,0,36,24,3,174,126
12240,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,0,312
